,missing_mfi,missing_3dp,SN,ne,Te,np,Tp,nalpha,Talpha,B0,db,db_a,dboB0,V0,v_r,dv,va,ma,p,rhoe,rhop,de,dp,betae,betap,vte,vtp,ld,zp,zm,zp_decay,zm_decay,sigma_c,sigma_r,ra,cos_a,qi,qk,fb,tb,tcf,lambda_c_fit,tce,lambda_c_e,tci,lambda_c_int,ttu,ttu_std,ttc,ttc_std,lambda_t_raw,lambda_t,Re_lt,Re_di,Re_tb,Vomni,pomni,Bomni,ms,mst,mat
count,12457.0,12457.0,9477.0,12309.0,12309.0,10595.0,10595.0,10580.0,10580.0,12457.0,12457.0,10595.0,12457.0,10595.0,10595.0,10595.0,12309.0,10585.0,10585.0,12309.0,10595.0,12309.0,12309.0,12309.0,10585.0,12309.0,10595.0,12309.0,10595.0,10595.0,10595.0,10595.0,10595.0,10595.0,10595.0,10595.0,12457.0,12457.0,11991.0,11991.0,12457.0,10595.0,12457.0,10595.0,12452.0,10591.0,12457.0,12457.0,12457.0,12457.0,10595.0,10595.0,12457.0,10585.0,11991.0,12152.0,12152.0,12152.0,10595.0,10595.0,10585.0
mean,0.01,0.11,56.34,4.18,12.89,5.02,11.02,0.14,63.82,5.49,3.83,42.36,0.71,439.73,438.05,26.19,65.54,7.36,1.49,1.78,63.93,3.12,133.94,0.82,0.53,1493.14,30.51,0.02,48.88,48.4,0.48,0.44,0.01,-0.44,0.46,0.01,-1.68,-2.64,0.25,14.26,2159.33,898858.71,2264.98,942256.09,2091.95,880375.68,11.38,0.12,7.44,0.07,4771.97,3224.53,3405683.8,329899.91,115594.96,423.63,2.02,5.35,15.31,0.84,0.4
std,0.02,0.23,41.83,3.15,3.2,3.29,8.76,0.14,46.32,2.55,1.95,25.7,0.15,100.61,100.16,16.3,29.18,2.12,1.18,0.64,26.35,1.19,51.15,0.66,0.33,180.79,11.17,0.01,32.84,31.66,2.97,2.37,0.5,0.26,0.86,0.57,0.08,0.47,0.14,128.29,1273.01,513591.22,1381.57,556675.7,1011.31,414306.14,3.39,0.08,1.84,0.04,1123.87,895.82,7607283.15,345505.59,175163.21,95.17,1.22,2.44,3.18,0.32,0.2
min,0.0,0.01,2.0,0.04,4.58,0.04,1.07,0.0,1.91,1.66,0.77,8.41,0.16,59.31,59.01,2.36,12.64,0.43,0.01,0.25,9.45,0.87,37.34,0.01,0.0,896.57,10.15,0.0,5.46,8.09,0.0,0.0,-0.97,-1.0,0.0,-0.98,-2.07,-4.43,0.0,0.17,135.03,75791.02,139.72,78422.91,28.61,11044.17,1.21,0.0,0.48,0.0,421.15,174.7,61828.99,6536.64,0.59,247.97,0.08,1.56,3.62,0.1,0.03
25%,0.0,0.03,21.0,2.09,10.76,2.76,5.1,0.06,29.81,3.82,2.59,29.22,0.61,362.79,361.59,15.54,47.86,6.08,0.81,1.31,45.78,2.3,98.7,0.41,0.34,1374.68,22.11,0.01,28.31,27.84,0.03,0.03,-0.42,-0.63,0.23,-0.51,-1.73,-2.96,0.14,0.46,1235.26,546793.55,1261.39,555960.02,1345.88,589373.41,8.82,0.06,6.19,0.04,4023.7,2602.94,788652.44,128867.13,29225.09,351.58,1.24,3.76,13.21,0.63,0.29
50%,0.01,0.04,45.0,3.29,12.73,4.2,8.38,0.1,50.98,4.84,3.37,38.36,0.72,417.31,415.56,22.29,61.44,7.2,1.18,1.72,60.06,2.93,125.66,0.66,0.49,1494.73,28.34,0.01,40.62,40.61,0.08,0.08,0.02,-0.47,0.36,0.02,-1.68,-2.6,0.25,0.63,1849.21,769002.33,1914.65,796812.06,1918.09,807543.07,11.1,0.1,7.35,0.07,4660.71,3248.3,1685605.3,226321.0,63582.85,401.97,1.73,4.73,15.13,0.78,0.37
75%,0.01,0.07,82.0,5.34,14.76,6.35,14.41,0.17,86.34,6.43,4.49,48.86,0.82,498.24,496.31,32.24,77.38,8.45,1.78,2.18,78.54,3.67,157.77,1.03,0.66,1609.95,37.16,0.02,60.57,60.98,0.27,0.28,0.43,-0.29,0.55,0.52,-1.63,-2.3,0.35,1.12,2772.44,1113029.44,2903.18,1170998.8,2669.69,1092825.25,13.54,0.17,8.54,0.1,5400.06,3841.57,3742383.71,405275.14,131379.75,476.97,2.43,6.27,17.15,0.96,0.47
max,0.1,1.0,220.0,37.28,94.3,38.39,160.07,5.05,477.75,40.42,32.55,810.93,1.0,1065.53,1059.98,263.97,744.15,24.39,29.69,5.04,398.44,27.23,1169.11,13.88,8.71,4068.9,123.86,0.23,833.98,799.29,155.72,137.09,0.98,0.97,75.05,0.99,-1.15,-1.7,0.96,3177.06,10288.33,8918229.03,9573.93,8076456.75,6415.21,5560893.77,34.43,0.73,18.65,0.39,15097.09,9725.51,504492321.46,7667197.73,3503735.91,933.51,26.99,32.8,30.64,6.89,7.39
