,db,Bwind,missing_mfi,tcf,tce,tci,ttu,ttu_std,ttc,ttc_std,qi,qk,fb,vsw,p,Bomni,ne,Te,ni,Ti,SN,rhoe,rhoi,de,di,betae,va,ld,Re_lt,Re_di,tb,Re_tb,lambda_t_raw,lambda_t,lambda_c_e,lambda_c_fit,lambda_c_int
count,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,119.0,119.0,119.0,14.0,14.0,14.0,14.0,119.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
mean,6.261593341827393,6.773824214935303,0.029908383874680703,1790.4965360665879,1834.9393571428573,1877.5054859202232,10.455108766956585,0.10390235868251493,8.018758152484946,0.07642182514952196,-1.6513159558857258,-2.9085715426167726,0.3167145347059098,415.5074157714844,2.383525848388672,6.635870456695557,3.9154300689697266,13.531414985656738,4.841708660125732,17.315372467041016,56.78151260504202,1.3897672891616821,67.64542388916016,2.9259817600250244,125.6353759765625,0.5223354697227478,83.17594146728516,0.01524240430444479,60187.205779464566,137363.6120952717,0.5645350160988648,65255.43456244007,4880.840010792954,3790.0972414967296,834460.5511960058,814248.6175055227,864100.5707688292
std,3.0475282669067383,2.453328847885132,0.0178033462373521,1195.4765576668299,1336.2605159509997,973.436282144327,2.926906220758102,0.07717361255514699,1.3885999228243648,0.04863420560045671,0.04928244889971486,0.36666884724871723,0.10516952870443423,84.21322631835938,1.1597750186920166,2.634864568710327,1.8621782064437866,2.897369623184204,2.3509256839752197,6.173590183258057,20.73323691435743,0.3455856740474701,21.981830596923828,0.8531897664070129,36.63413619995117,0.206464022397995,53.227149963378906,0.006176423747092485,64141.36244757762,139044.73523811073,0.2243346086074245,82930.28503026842,1105.7140118703412,624.112416141113,568660.203098378,501522.4353440071,401075.79754164885
min,3.1312801837921143,4.519176006317139,0.008635633755425223,675.7417957217303,653.864,737.2764850217332,6.914021037417969,0.01751013301215841,5.7388471720647605,0.015106924976826707,-1.7601094059671016,-3.6005361636297684,0.13362277086778981,274.98004150390625,0.6119601130485535,2.8810360431671143,0.9303886890411377,10.213204383850098,1.3628419637680054,11.375417709350586,26.0,0.7806984186172485,35.277915954589844,1.8309657573699951,78.61774444580078,0.05862780660390854,54.92093276977539,0.008187580853700638,8837.287747625916,39552.13344747446,0.29548955280902645,14589.714473749927,3206.300315787321,2293.280318620492,368246.6346958008,389184.4357458612,419405.8304755217
25%,4.137897491455078,5.138430118560791,0.012155941456612687,983.8100100935711,1055.5142500000002,1286.2226577142442,8.11895210378023,0.055739230222412645,7.155495674889792,0.0464848893531873,-1.661816664791727,-3.127397444618759,0.24863908021335251,352.3358154296875,1.6558680534362793,4.829726219177246,3.0894970893859863,11.34929084777832,3.7727813720703125,12.258420944213867,39.0,1.134537935256958,48.241065979003906,2.567885398864746,110.25948333740234,0.42008715867996216,57.3861083984375,0.01246593613177538,13903.796099754962,63919.540706501924,0.4257496686743905,17719.54194931219,4137.73964901119,3578.4822283963504,471108.69865901186,453755.86621998035,571151.6847036385
50%,4.915080547332764,6.117685794830322,0.026560718410241133,1356.75011402476,1234.626,1501.1310112304295,9.941339459478668,0.06916004969942285,8.140889085678083,0.05720185780181799,-1.6468745321583529,-2.8636156024876263,0.3025617121546579,399.6064453125,2.106088638305664,5.966000080108643,3.4843926429748535,12.988794326782227,4.06619930267334,14.609003067016602,51.0,1.480123519897461,69.28022766113281,2.848407030105591,122.30448913574219,0.5827988386154175,67.42338562011719,0.014061890542507172,31013.529415335564,93472.44658853175,0.5263979925617095,28939.356341632345,4689.764118741543,3857.6999662432777,596446.2541924133,643479.0368819986,724718.9060541964
75%,7.719718933105469,7.355924129486084,0.0479774625064315,2504.7496794470003,2346.60175,2566.7271229269654,12.304218305762532,0.13153015512131333,8.925594081486876,0.09756147697602856,-1.6150324843992196,-2.5946272732356874,0.373833424451707,465.023681640625,2.7998151779174805,7.373577117919922,4.278443813323975,15.076613426208496,5.435845375061035,22.330730438232422,69.5,1.6866389513015747,83.7787857055664,3.0210623741149902,129.71792602539062,0.669782817363739,73.4210205078125,0.0161404088139534,99204.13661802173,141588.21037095602,0.6402074719416605,70250.67551197798,5283.871640486481,4143.546192090989,1003003.8145932769,1062871.5315176041,1117267.1693671767
max,12.54736328125,12.544327735900879,0.05339208286836299,4103.596391187084,4606.332,3619.2984205386374,17.061312526174245,0.2440349235235142,10.923158951024368,0.1677854818609699,-1.59454866822272,-2.462797827883936,0.5386144504227413,624.8030395507812,6.586557865142822,15.699803352355957,8.410630226135254,20.699447631835938,11.342074394226074,28.61202049255371,108.0,1.839639663696289,99.37052154541016,5.505063056945801,236.37559509277344,0.7513813972473145,260.0378723144531,0.0350457988679409,198586.18671942796,581040.1844288424,1.191076506334147,320695.2592885719,7455.790449918517,4773.418461507508,2098257.183956177,1813907.005373014,1620033.7902151668
